time,Xm,Xo,delta,comp_time
38.464,0.997464390457661,0.5370495669980351,0.5,0.0080409049987792
40.064,0.9836201580343756,0.5370495669980351,0.5,0.0119984149932861
41.664,0.9870140696543854,0.5370495669980351,0.5,0.0119962692260742
43.264,0.9850908120414354,0.5370495669980351,0.5,0.0030012130737304
44.864,0.987090663741354,0.5370495669980351,0.5,0.0100576877593994
46.464,0.9579054450280656,0.5370495669980351,0.5,0.0030221939086914
48.064,0.9582918721628172,0.5370495669980351,0.5,0.0030055046081542
49.664,0.9138150965622512,0.5370495669980351,0.5,0.0029714107513427
51.264,0.8771799881138755,0.5370495669980351,0.5,0.004000186920166
52.864,0.9109200853208416,0.5370495669980351,0.5,0.003023624420166
54.464,0.9031961506432592,0.5370495669980351,0.5,0.0050022602081298
56.064,0.8771948991169551,0.5370495669980351,0.5,0.0059993267059326
57.664,0.9201612046438354,0.5370495669980351,0.5,0.0069930553436279
59.264,0.9344128604183533,0.5370495669980351,0.5,0.0020225048065185
60.864,0.9541018358988802,0.5370495669980351,0.5,0.0020220279693603
62.464,0.969798858968094,0.5370495669980351,0.5,0.0029993057250976
64.06400000000001,0.9907555021709508,0.5370495669980351,0.5,0.0060179233551025
65.664,0.9732458397717904,0.5370495669980351,0.5,0.00700044631958
67.264,0.9174383779608646,0.5370495669980351,0.5,0.0060362815856933
68.864,0.8964656813257657,0.5370495669980351,0.5,0.0020034313201904
70.464,0.932561522222372,0.5370495669980351,0.5,0.0090055465698242
72.06400000000001,0.8893695399358585,0.5370495669980351,0.5,0.0020167827606201
73.664,0.8843761709272615,0.5370495669980351,0.5,0.0029988288879394
75.264,0.8891273718804613,0.5370495669980351,0.5,0.0120940208435058
76.864,0.8584364578531369,0.5370495669980351,0.5,0.0100834369659423
78.464,0.8477108740314301,0.5370495669980351,0.5,0.0030021667480468
80.06400000000001,0.8436415578669991,0.5370495669980351,0.5,0.0040004253387451
81.664,0.7818770881501904,0.5370495669980351,0.5,0.0029857158660888
83.264,0.7455459545005598,0.5370495669980351,0.5,0.0019996166229248
84.864,0.7719957627033851,0.5370495669980351,0.5,0.0029995441436767
86.464,0.6987617276743086,0.5370495669980351,0.5,0.003028392791748
88.06400000000001,0.604001823964471,0.5370495669980351,0.5,0.0030159950256347
89.664,0.4821638974308787,0.5370495669980351,0.5,159.26859140396118
91.264,0.7743206465476202,0.0,0.5,0.0019910335540771
92.864,0.3173105078629141,0.0,0.5,116.35208344459534
94.464,0.752102491716172,0.0,0.5,0.0030224323272705
96.064,0.794688177947807,0.0,0.5,0.0030016899108886
97.664,0.7180955968091263,0.0,0.5,0.002021312713623
99.264,0.717162004555036,0.0,0.5,0.0040299892425537
100.864,0.8153390492657402,0.0,0.5,0.0020070075988769
102.464,0.9628579972645854,0.0,0.5,0.0040013790130615
104.064,0.8895460241064517,0.0,0.5,0.0040235519409179
105.664,0.8731758535373844,0.0,0.5,0.0029988288879394
107.264,0.8830304932550932,0.0,0.5,0.0030286312103271
108.864,0.8922136320831344,0.0,0.5,0.0029852390289306
110.464,0.9027710302841472,0.0,0.5,0.0029902458190917
112.064,0.920642619135308,0.0,0.5,0.0030231475830078
113.664,0.9326943296958874,0.0,0.5,0.0039968490600585
115.264,0.9455080547750504,0.0,0.5,0.0020091533660888
116.864,0.9503598462774908,0.0,0.5,0.00201416015625
118.464,0.9556834380783548,0.0,0.5,0.0039992332458496
120.064,0.9614605475366256,0.0,0.5,0.0030021667480468
121.664,0.966257425477667,0.0,0.5,0.0030217170715332
123.264,0.9718810913285696,0.0,0.5,0.0050005912780761
124.864,0.9759007289166924,0.0,0.5,0.0029997825622558
126.464,0.9766097904474276,0.0,0.5,0.007030963897705
128.064,0.9826042085857748,0.0,0.5,0.0019874572753906
129.66400000000002,0.987183230207196,0.0,0.5,0.0040223598480224
131.264,0.992740817125318,0.0,0.5,0.0030272006988525
132.864,0.9904826191703258,0.0,0.5,0.002997875213623
134.464,0.9929234057160392,0.0,0.5,0.0029973983764648
136.064,0.9964889570457818,0.0,0.5,0.0030078887939453
137.66400000000002,0.9991345697636134,0.0,0.5,0.0040254592895507
139.264,0.996494773462402,0.0,0.5,0.0029997825622558
0.064,0.9842721050184896,1.0,0.5,0.0040032863616943
1.664,0.979386891482481,1.0,0.5,0.0040297508239746
3.264,0.9801347786103268,1.0,0.5,0.0040299892425537
4.864,0.9794644339223058,1.0,0.5,0.0020194053649902
